ZincID,Smiles,S
ZINC000868451467,O=C(CCc1sccc1)N1CC(C(=O)[O-])CC(c2cn(C)nc2)C1,-7.455
ZINC000299759177,Fc1c(N(C)C)nc(N2CC(CC(=O)[O-])C(c3[nH]nnc3)C2)nc1,-7.455
ZINC000299787972,O=C([O-])CC1C(c2nnn(C)c2)CN(c2[nH+]c(C)cc(NC)n2)C1,-7.454
ZINC000536954634,O=C(OCc1ccccc1)NCCC(COCCC)CC(=O)[O-],-7.454
ZINC000005523274,O=C([O-])C1C(C(=O)NCCc2ccc(OC)cc2)CC(C)=C(C)C1,-7.453
ZINC000016901010,O=C([O-])c1cc(N2C(=O)C(Nc3c(C)cc(C)cc3)CC2=O)ccc1,-7.453
ZINC000263024904,O=C([O-])CC1N(C(=O)c2nc(OC(C)C)ccc2)CC(OC)C1,-7.453
ZINC000095361679,O=C([O-])CCc1c(C)[nH+]c(N)nc1N1CC(c2[nH]c(C)nn2)CCC1,-7.452
ZINC000007260861,O=C(NC1C(=O)N2C(C(=O)[O-])=C(COC(=O)C)CSC12)CCC,-7.452
ZINC000012997503,P(=O)([O-])([O-])C([NH2+]Cc1ccccc1)c1cc2OCCOc2cc1,-7.451
ZINC000426700131,O=C([O-])CC(NC(=O)N1CCC(O)(c2ccccc2)CC1)CC(C)C,-7.451
ZINC000097679931,O=C([O-])Cn1c(CCC(C)[NH+]2CCCC2)nc(-c2oc(C)cc2)n1,-7.450
ZINC000299746897,O=C(CCCc1onc(C(C)(C)C)n1)N1C(C(=O)[O-])COCC1,-7.449
ZINC000008156825,O=C([O-])C(NC(=O)CCNC(=O)c1occc1)Cc1ccc(O)cc1,-7.448
ZINC000002104223,O=C(NC(C(=O)[O-])Cc1ccccc1)NCCc1ccc(OC)cc1,-7.448
ZINC000670459280,O=C(N(Cc1cn(C)nc1)C)NC(C(=O)[O-])COCc1ccccc1,-7.447
ZINC000072425873,O=C([O-])C1(Oc2cnc(C)cc2)CCN(C(=O)C2(C(=O)N)CC2)CC1,-7.445
ZINC000071715043,O=C([O-])CCNC(=O)CC1N(C)c2c(OC1)ccc(C(=O)N(C)C)c2,-7.445
ZINC000299751841,O=C(CN1C(C)(C)C(=O)NC1=O)N1C(C(=O)[O-])CC2C1CCCC2,-7.445
