Dockingscore,SMILES
-7.05,O=C([O-])C(NC(=O)C1CCC(C(C)C)CC1)Cc1ccccc1
-7.05,O=C([O-])C(NC(=O)CCCN1C(=O)N(C)CC1=O)c1ccccc1
-7.05,S(C(C(=O)[O-])=Cc1c(OCC#N)cccc1)c1[nH]c(CCC)nn1
-7.05,O=C(OCc1ccccc1)NC(C(=O)[O-])C=CCc1ccccc1
-7.05,O=C([O-])C(C)(C)n1ncc(NC(=O)c2onc(C3CC3)c2)c1
-7.05,O=C(Nc1ccc(NC(=O)C2C(C(=O)[O-])CCCC2)cc1)CCC
-7.05,O=C([O-])C(C)c1cc(NC(=O)CCn2ncc(C)c2)ccc1
-7.05,O=C(N1CC(c2nnn[n-]2)CCC1)c1sc(-c2oc(C)cc2)cc1
-7.05,O=C([O-])Cn1nc(NC(=O)c2onc(C(C)C)c2)cc1
-7.05,O=C([O-])C(NC1=NC(=O)c2n(Cc3ccccc3)cnc2N1)C(C)C
-7.05,O=C(NC(C(=O)[O-])Cc1ccccc1)NC(C)c1ccccc1
-7.05,O=C([O-])CN1C(=O)C(Oc2ccccc2)C1c1c(O)cccc1
-7.05,O=C(Nc1scc(CC(=O)[O-])n1)C=Cc1c(OC)cc(OC)cc1
-7.05,O=C([O-])CN(C(=O)C1Cc2c(ncnc2)CC1)CCC
-7.04,O=C(OCc1ccccc1)N(C(C(=O)[O-])Cc1ccc(O)cc1)C
-7.04,Clc1noc(CCC(=O)NC(C(=O)[O-])Cc2ccccc2)c1
-7.04,S(=O)([O-])(=Nc1cc(CC(=O)[O-])ccc1)c1cnc2c(scc2)c1
-7.04,O=C(NC(C(=O)[O-])Cc1ccccc1)Nc1ccc(CC)cc1
-7.04,O=C([O-])Cn1c(C2(C(=O)N)CC2)nc(COc2ccc(OC)cc2)n1
-7.04,O=C([O-])CC([NH2+]CCC(=O)c1ccc(OCC)cc1)c1ccccc1
-7.04,O=C([O-])C(NC(=O)CCc1cc2NC(=O)C(=O)N(C)c2cc1)C(C)C
-7.04,O=C([O-])C(NC(=O)CCCN1C(=O)N(C)CC1=O)c1ccccc1
-7.04,O=C(N1CC(C(=O)[O-])CCC1)c1cnc(-c2ccccc2)nc1
-7.04,O=C([O-])C(C)c1cc(NC(=O)c2scc(COC)c2)ccc1
